Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
"101,164,855,811,125.00 ",Senior Giveback Plan,Buyertool LLC,2159,99
"130,945,114,804.00 ",World Jewish Congress,ATTN: INC.,2149,5
"101,535,059,388,333.00 ",Benefit Helpline,Benefit Helpline,2127,92
"104,094,415,337,871.00 ",Abuse Victim Claims,Tort Group LLC,2102,9
"103,912,059,097,010.00 ",One Real American,One Real American,2092,9
"171,287,339,973,880.00 ",LCV Victory Fund,"LCV Victory Fund, 202-785-8683, and not authorized by any candidate or candidate’s committee",2068,3
"178,835,922,297,833.00 ",American Clinical Laboratory Association,American Clinical Laboratory Association,2003,9
"106,568,024,842,114.00 ",Rideshare Assault Support,Select Justice LLC,1969,3
"7,192,716,362.00 ",Amnesty International USA,"AMNESTY INTERNATIONAL OF THE U. S. A., INC.",1943,65
"58,433,611,572.00 ",Seventh Generation,SEVENTH GENERATION INC,1939,10
"222,778,077,862,868.00 ",Crime Survivors for Safety and Justice,Alliance for Safety and Justice,1907,114
"8,934,429,638.00 ",Planned Parenthood Action,Planned Parenthood Action Fund,1900,236
"376,250,065,793,807.00 ",Citizens for Responsible Energy Solutions,CITIZENS FOR RESPONSIBLE ENERGY SOLUTIONS INC,1816,84
"77,278,490,877.00 ",National Corn Growers Association,NATIONAL CORN GROWERS ASSOCIATION INC,1808,7
"152,759,126,824.00 ",Enbridge,Enbridge Inc.,1806,12
"105,454,117,977,117.00 ",Voices for Consumer Choice,Voices for Consumer Choice,1781,12
"203,805,062,990,264.00 ",Ben Shapiro,The Daily Wire,1770,21
"1,593,518,174,052,710.00 ",Candace Owens,The Daily Wire,1766,17
"111,994,897,803,195.00 ",What's Good,RARE,1750,16
"23,875,187,730.00 ",Feeding America,FEEDING AMERICA,1749,68
"103,592,609,106,554.00 ",Female Correctional Facility Abuse Survivors,Tort Group LLC,1684,3
"302,182,941,354.00 ",AARP Advocates,AARP,1653,4
"269,348,454,714.00 ",IMB,"INTERNATIONAL MISSION BOARD OF THE SOUTHERN BAPTIST CONVENTION, THE",1634,33
"84,177,291,169.00 ","Dairy Farmers of America, Inc.",DAIRY FARMERS OF AMERICA INC,1632,15
"50,822,254,585.00 ",Mountain States Legal Foundation,Mountain States Legal Foundation,1617,57
"102,235,752,654,606.00 ",Idaho Energy Freedom,Idaho Energy Freedom,1584,107
"42,872,222,699.00 ",Dana Loesch,The Association of Mature American Citizens Inc,1573,8
"100,585,302,852,839.00 ",Health LIVE,Health Live Official,1567,24
"679,171,239,164,792.00 ",Supermajority,Supermajority,1557,12
"123,499,639,275.00 ",National CASA / GAL Association for Children,NATIONAL CASA ASSOCIATION,1531,46
"101,803,615,972,593.00 ",Innovation Race,"TEA PARTY PATRIOTS ACTION, INC.",1522,98
"101,772,951,980,698.00 ",Texas Destination Resort Alliance,Las Vegas Sands Corp.,1515,34
"2,086,540,831,566,730.00 ",Ohioans for a Healthy Economy,"Ohioans for a Healthy Economy, Inc.",1508,6
"8,291,852,604.00 ",Tobacco Free Florida,Florida Department of Health Bureau of Tobacco Free Florida,1507,17
"100,373,975,829,221.00 ",Fòs Feminista Org,Fòs Feminista,1489,18
"216,311,481,960.00 ",Bill Gates,Bill Gates,1480,22
"7,292,655,492.00 ",MoveOn,MOVEON.ORG POLITICAL ACTION,1469,74
"2,602,473,023,098,660.00 ",Democratic Polling Center,Democratic Governors Association,1468,3
"8,047,221,596.00 ",Save the Children US,SAVE THE CHILDREN FEDERATION INC.,1468,15
"100,992,801,635,617.00 ",Conservative-American.org,Conservative American Strategies,1466,8
"2,353,537,341,582,540.00 ",Proud Patriots,Proud Patriots,1465,23
"47,710,973,068.00 ",Voices for Cooperative Power,Voices for Cooperative Power,1464,55
"542,678,889,114,683.00 ",The Coca-Cola Company,The Coca-Cola Company,1464,13
"108,159,204,713,418.00 ",DoorDash Impact,"DOORDASH, INC.",1456,7
"55,804,331,295.00 ",Texas Association of Business,TEXAS ASSOCIATION OF BUSINESS,1448,6
"103,875,099,042,033.00 ",DailyWire+,The Daily Wire,1448,6
"104,295,601,633,638.00 ",American Cornerstone Institute,American Cornerstone Institute Inc,1447,23
"30,914,589,895.00 ",The International Fellowship of Christians and Jews,INTERNATIONAL FELLOWSHIP OF CHRISTIANS & JEWS INC,1446,27
"357,750,373,755.00 ",National Domestic Workers Alliance,National Domestic Workers Alliance,1403,4
"105,561,217,523,274.00 ",The Dispatch,"Dispatch Media, Inc.",1388,34
"85,543,026,043.00 ",Consumers Energy,Consumers Energy,1357,27
"746,938,465,317,981.00 ",Nuclear Matters,Nuclear Matters,1343,58
"106,430,925,394,095.00 ",The ERC Helpers,18LEADS LLC,1337,2
"161,787,167,204,601.00 ",National Hydropower Association,"NATIONAL HYDROPOWER ASSOCIATION INC, THE",1333,8
"592,707,041,080,920.00 ",Stand Together,Stand Together Chamber of Commerce Inc.,1329,17
"59,826,489,083.00 ",SELC,SOUTHERN ENVIRONMENTAL LAW CENTER,1322,15
"103,807,629,149,771.00 ",Working Forests Initiative,Working Forests Initiative,1321,9
"102,592,959,026.00 ",Ocean Conservancy,"OCEAN CONSERVANCY, INC.",1307,98
"171,242,120,243,647.00 ",Jersey 1st,Jersey 1st,1292,8
"367,292,494,407.00 ",AJC - American Jewish Committee,AMERICAN JEWISH COMMITTEE,1276,53
"15,239,367,801.00 ",The Wilderness Society,"WILDERNESS SOCIETY, THE",1267,23
"114,710,126,648,118.00 ",Republican Dogs,Republican Dogs,1260,406
"802,271,849,850,801.00 ",Freedom for All Americans,Freedom for All Americans,1259,37
"866,779,926,670,025.00 ",Citizens for Tobacco Rights,Citizens for Tobacco Rights,1253,21
"108,547,455,113,940.00 ",Our America,Our America,1251,55
"533,987,556,776,948.00 ",Campaign for Sustainable Rx Pricing,Campaign for Sustainable Rx Pricing,1240,6
"34,362,997,676.00 ",United States Holocaust Memorial Museum,UNITED STATES HOLOCAUST MEMORIAL MUSEUM,1224,71
"29,717,379,728.00 ",International Justice Mission,International Justice Mission,1224,134
"109,999,331,898,234.00 ",My Affordable Care Act,The Burial Solution,1222,71
"115,613,890,351,673.00 ",Screaming Freedom Apparel,Screaming Freedom Apparel,1216,20
"101,497,941,620,428.00 ",MolinaCares,The MolinaCares Accord,1215,51
"246,323,280,108.00 ",American Medical Association,American Medical Association,1215,5
"51,405,613,519.00 ",Focus on the Family,Focus on the Family,1192,51
"2,254,455,051,442,790.00 ",Flag and Cross,Flag & Cross,1183,121
"182,620,315,479.00 ",Plan International USA,Plan International USA,1182,16
"30,708,742,052.00 ",FCTRY,FCTRY,1177,3
"1,547,907,108,783,960.00 ",The National Forum for Heart Disease & Stroke Prevention,The National Forum for Heart Disease & Stroke Prevention,1175,19
"105,791,402,802,932.00 ",Democratic Party of Georgia,Democratic Party of Georgia,1174,6
"5,861,903,849.00 ",USA for UNFPA,FRIENDS OF UNFPA INC,1171,9
"158,791,100,909,689.00 ",Concerned Veterans for America,Concerned Veterans for America,1170,14
"160,389,977,329,803.00 ",ATTN:,ATTN: INC.,1168,6
"101,321,685,854,192.00 ",Grand Penn Community Alliance,Grand Penn Community Alliance,1164,127
"248,422,805,193,353.00 ",The California Endowment,The California Endowment,1159,23
"19,554,217,292.00 ",American Heart Association: You're the Cure,American Heart Association,1156,38
"203,583,423,017,526.00 ",National Immigration Law Center,National Immigration Law Center,1145,6
"101,431,588,985,210.00 ",Home Program,FL Green Development LLC,1139,18
"8,325,302,025.00 ",Friends of the Earth U.S.,Friends of the Earth,1136,14
"110,431,415,026,491.00 ",The American Enthusiasm,The American Enthusiasm,1125,2
"109,846,597,589,278.00 ",Patriot's Cave Shop,Patriot's Cave,1110,108
"163,302,087,408,673.00 ",Stop The Donald,Stop the Donald,1101,41
"105,355,871,121,994.00 ",Indiana Unclaimed Property Division,"Office of the Indiana Attorney General, Unclaimed Property Division",1100,45
"830,289,696,991,749.00 ",THE FACTS NOW,Florida Department of Health Bureau of Tobacco Free Florida,1084,12
"51,379,424,899.00 ",Mercy Ships,MERCY SHIPS INTERNATIONAL,1078,32
"109,092,142,462,587.00 ",Adam Schiff,SCHIFF FOR CONGRESS,1071,80
"287,406,281,315,655.00 ",California Nurses Association,California Nurses Association,1062,4
"100,417,168,386,329.00 ",Heal America,Stand Together Chamber of Commerce Inc.,1062,65
"133,845,049,915.00 ",American Highway Users Alliance,American Highway Users Alliance,1055,4
"38,235,851,310.00 ",USA for UNHCR,UNITED STATES ASSOCIATION FOR UNHCR,1052,110
"106,216,341,779,798.00 ",Mobilize to keep loved ones safe,GOTVAX INC,1030,37
"350,760,398,417,862.00 ",National Education Association of New Mexico,"National Education Association of New Mexico, Inc.",1021,9
"104,042,452,981,815.00 ",AARP Black Community,AARP,1021,35
"107,255,828,607,892.00 ",Future 42,Future 42,1020,7
"190,400,207,672,014.00 ",American Bankers Association,American Bankers Association,1019,6
"286,999,398,309,679.00 ",Enel Green Power,"Enel North America, Inc.",1019,21
"1,435,071,773,455,310.00 ",Daily Wire,The Daily Wire,1018,15
"30,139,072,158.00 ",CARE,CARE,1002,5
"1,747,038,068,858,370.00 ",Las Madrinas de los Seguros,"Living Secure Insurance Advisors, Inc.",1002,60
"107,008,774,760,761.00 ",Color Us United,Color Us United,984,6
"602,714,436,529,710.00 ",End Citizens United,END CITIZENS UNITED,973,8
"158,505,287,559,920.00 ",Save the Storks,Save the Storks,973,92
"109,791,514,174,404.00 ",Homeland Insurance,Homeland Insurance,971,9
"23,875,187,730.00 ",Feeding America,Feeding America,968,25
"425,677,887,526,239.00 ",NYSERDA,NYSERDA,964,13
"114,008,535,880.00 ",Foundation for Individual Rights and Expression,FOUNDATION FOR INDIVIDUAL RIGHTS IN EDUCATION,953,10
"130,234,313,704,399.00 ",United We Dream,UNITED WE DREAM NETWORK INC,948,8
"200,650,357,207,240.00 ",I Love My Freedom,I Love My Freedom,947,18
"109,637,125,764,343.00 ",Population Connection,Population Connection,944,17
"6,355,071,377.00 ",American Cancer Society Cancer Action Network - ACS CAN,AMERICAN CANCER SOCIETY CANCER ACTION NETWORK INC,943,23
"186,291,828,074,120.00 ",Drexel University,Drexel University,941,37
"100,712,889,249,331.00 ",Health Equity Coalition for Chronic Disease,Health Equity Coalition for Chronic Disease,936,2
"443,329,669,123,990.00 ",USAFacts,USAFacts Institute,925,88
"219,242,560,293.00 ",Meals on Wheels America,Meals on Wheels,920,24
"118,737,467,661.00 ",New York State Department of Labor,New York State Department of Labor,914,1
"17,203,056,985.00 ",Partners In Health,Partners In Health,912,24
"102,415,355,916,214.00 ",American Heart City,American Heart City,889,5
"144,748,475,550,037.00 ",The Home Depot Foundation,These ads ran without a disclaimer,875,1
"492,833,287,785,124.00 ",Supervisor Jim Desmond,Supervisor Jim Desmond,873,9
"129,240,690,441,636.00 ",The Legal Defense Fund,"N. A. A. C. P. LEGAL DEFENSE AND EDUCATIONAL FUND, INC.",868,16
"24,470,472,733.00 ",The Trevor Project,The Trevor Project,857,31
"109,531,791,736,633.00 ",Earth4All,Electica LLC USA,854,18
"309,541,989,079,465.00 ",Libertas Institute,LIBERTAS INSTITUTE,853,34
"83,290,028,957.00 ",Care Net,CARE NET,844,131
"50,982,313,030.00 ",Food & Water Watch,Food & Water Watch,840,6
"143,329,509,024.00 ",Citizens Against Lawsuit Abuse,Citizens Against Lawsuit Abuse,835,23
"45,393,753,416.00 ",Alliance Defending Freedom,Alliance Defending Freedom,834,50
"147,368,882,623,027.00 ",Black Futures Lab,Black Futures Lab,823,3
"104,760,636,770.00 ",Vera Institute of Justice,"VERA INSTITUTE OF JUSTICE, INC.",812,26
"108,268,161,352,786.00 ",Stanley M. Herzog Foundation,Herzog Foundation,807,35
"111,106,258,469,664.00 ",Sexual Abuse Claim Center,Tort Group LLC,806,2
"1,428,755,447,227,800.00 ",Defend The Second,Next Level Goods,804,67
"101,471,035,744,662.00 ",Yes. Every Kid. Foundation,yes. every kid. foundation,802,2
"95,001,097,200.00 ",National Association of Manufacturers,NATIONAL ASSOCIATION OF MANUFACTURERS OF THE UNITED STATES OF AMERICA INC.,796,6
"25,852,730,092.00 ",Care2,"Care2.com, Inc",790,150
"215,830,238,462,422.00 ",The LIBRE Initiative,The Libre Initiative,785,44
"9,538,894,955.00 ",John F. Kennedy Presidential Library and Museum,"John Fitzgerald Kennedy Library Foundation, Inc.",767,30
"36,474,716,066.00 ",Color Of Change,ColorofChange.org,765,3
"1,470,540,296,409,810.00 ",Fair Fight Action,FAIR FIGHT,763,20
"108,584,138,494,617.00 ",Alliance for Quality Broadband Ohio,Alliance for Quality Broadband,761,44
"77,130,778,113.00 ",Coalition for Medicare Choices,The Coalition for Medicare Choices,755,34
"376,776,419,037,747.00 ",Turning Point USA,"Turning Point USA, Inc.",752,64
"45,737,047,735.00 ",Pro-Choice WA,Pro-Choice Washington,742,80
"19,575,923,823.00 ",Farm Sanctuary,"Farm Sanctuary, Inc.",740,13
"140,357,056,032,320.00 ",NEA Today,National Education Association,734,4
"106,315,901,551,850.00 ",The U.S. Concealed Carry Association for Saving Lives,U.S. Concealed Carry Association For Saving Lives. Not Authorized By Any Candidate Or Candidate's Committee.,730,8
"107,801,457,314,549.00 ",Application for Obamacare,Michael Anthony Bennett,726,9
"58,029,141,741.00 ",RMI,RMI with Facebook ad credits,725,15
"372,577,693,078,008.00 ","Saenz-Garcia Law, PLLC","Saenz-Garcia Law, PLLC",719,27
"1,621,001,068,145,810.00 ",Best Relationships,Best Relationships Group,719,10
"1,201,574,069,988,840.00 ",NoFilter with Ana Kasparian,"The Young Turks, Inc.",718,28
"103,531,607,822,207.00 ",Noticias para Inmigrantes,"Wise Rock Media, PBC",718,111
"120,137,368,013,775.00 ",Puget Sound Energy,"PUGET SOUND ENERGY, INC.",710,19
"17,911,165,812.00 ",Covenant House International,Covenant House,709,17
"142,432,192,446,984.00 ",David Horowitz Freedom Center,David Horowitz Freedom Center,707,3
"90,022,052,772.00 ",Williams,"WILLIAMS COMPANIES, INC., THE",706,115
"103,552,914,774,916.00 ",Science Moms,"Potential Energy Coalition, Inc.",696,18
"12,185,972,707.00 ",350.org,350 ORG,692,39
"788,559,044,606,908.00 ",America Forward,NEW PROFIT INC,684,16
"199,826,043,375,900.00 ",Larry Hogan,An America United,678,17
"140,499,052,681,592.00 ",Bank of the West,BANK OF THE WEST,677,16
"127,944,113,884,831.00 ",Community Foundation for Greater Atlanta,"The Community Foundation for Greater Atlanta, Inc.",675,5
"580,610,428,636,345.00 ",Fight for $15,Fight for $15,673,43
"114,765,400,352,270.00 ",Kite & Key Media,VMTS EDUCATION INC,655,2
"9,324,910,069.00 ",NRSC,NRSC,651,12
"665,345,483,483,486.00 ",NRA - National Rifle Association of America,NATIONAL RIFLE ASSN OF AMERICA,648,33
"7,263,476,274.00 ",Mercy Corps,These ads ran without a disclaimer,647,22
"192,448,150,001.00 ",Jeff Anderson & Associates,"Jeff Anderson & Associates, P.A.",647,182
"11,791,104,453.00 ",NRDC,Natural Resources Defense Council,639,50
"206,238,602,739,505.00 ",Taxpayers Protection Alliance,Taxpayers Protection Alliance,636,7
"22,092,775,577.00 ",Michelle Obama,Live Nation Concerts,631,10
"39,910,576,365.00 ",National Alliance for Public Charter Schools,NATIONAL ALLIANCE FOR PUBLIC CHARTER SCHOOLS,629,6
"102,115,272,695,701.00 ",Keep The Lights On,Keep the Lights On,625,16
"108,025,821,819,737.00 ",Thorn for Parents,Thorn,622,13
"182,849,798,561,805.00 ",beWellnm,New Mexico Health Insurance Exchange,611,4
"72,931,140,459.00 ",Center for Biological Diversity,"CENTER FOR BIOLOGICAL DIVERSITY, INC.",610,10
"84,645,912,778.00 ",Prosperity Now,PROSPERITY NOW,597,107
"102,579,389,208,198.00 ",Country First Academy,Keep Country First Policy Action,596,18
"75,054,466,127.00 ",Keep Louisiana Beautiful,"KEEP LOUISIANA BEAUTIFUL, INC.",587,1
"407,956,966,074,134.00 ",Center for Individual Freedom,CENTER FOR INDIVIDUAL FREEDOM,586,5
"260,244,824,449,371.00 ",Consumers for Quality Care,Consumers 4 Quality Care,585,13
"483,373,685,140,527.00 ",Birthright Israel Foundation,"BIRTHRIGHT ISRAEL FOUNDATION, THE",585,29
"56,431,624,743.00 ",Ceres,Ceres,581,6
"19,746,387,261.00 ",Humane Society International,Humane Society International,578,28
"102,155,388,790,298.00 ",Affordable HealthCare,The Burial Solution,578,12
"109,320,440,856,128.00 ",Together Beat Hate,"Foundation to Combat Anti-Semitism, Inc.",577,2
"116,115,111,094,914.00 ",Mirena® (levonorgestrel-releasing intrauterine system) 52 mg,BAYER HEALTHCARE LLC,576,2
"6,787,988,478.00 ",Physicians for Human Rights,"PHYSICIANS FOR HUMAN RIGHTS, INC.",575,24
"945,455,208,962,159.00 ",For Everyone Collective,For Everyone Collective,574,29
"70,874,333,603.00 ",CatholicVote,catholicvote.org,571,48
"114,625,730,266,879.00 ",The Republican Accountability Project,Defending Democracy Together,559,26
"144,905,742,229,611.00 ",Scientology,Church of Scientology International,559,1
"24,481,937,944.00 ",Theodore Roosevelt Conservation Partnership,"THEODORE ROOSEVELT CONSERVATION PARTNERSHIP, INC",557,30
"102,748,688,472,759.00 ",Parents Defending Education,Parents Defending Education,553,46
"100,758,682,697,459.00 ",Mayday Health,"Mayday Medicines, Inc.",553,163
"685,467,058,130,434.00 ",Blue Cross and Blue Shield of Minnesota,"BCBSM, INC.",546,8
"1,163,396,097,051,640.00 ",PILMA,Pharmaceutical Industry Labor Management Association,539,6
"6,040,534,532.00 ",One Acre Fund,ONE ACRE FUND,536,15
"101,005,725,901,322.00 ",Operation Sunlight,Operation Sunlight,532,11
"141,786,816,970.00 ",Cruise Lines International Association - CLIA,Cruise Lines International Association,532,3
"100,675,819,338,322.00 ",California Funeral Benefits & Services,Heartwork global,531,21
"101,607,439,429,638.00 ",USA Healthy Tips,USA Healthy Tips,529,4
"85,945,492,130.00 ",EnergyBoom,Energy Boom,524,120
"108,524,420,538,011.00 ",Hoosiers for Renewables,Hoosiers for Renewables LLC,520,30
"101,391,906,600.00 ",Live Action News,Live Action,518,10
"723,394,465,079,640.00 ",The Lion,Stanley M. Herzog Charitable Foundation,516,11
"471,928,596,287,830.00 ",Brian Mast,Mast for Congress,514,3
"270,623,392,879.00 ",San Francisco Foundation,"SAN FRANCISCO FOUNDATION, THE",511,2
"117,437,204,982,602.00 ",American Wild Horse Campaign,American Wild Horse Preservation Campaign,508,2
"15,041,226,930.00 ",Oxfam,"OXFAM AMERICA, INC.",507,7
"201,603,473,249,790.00 ",John M. Schroder Louisiana State Treasurer,Louisiana Department of Treasury,506,4
"101,449,749,369,769.00 ",Blake Vaughn for NRH City Council,Blake Justin Vaughn,506,1
"112,314,627,622,757.00 ",Merchants Payments Coalition,"Merchants Payments Coalition, Inc.",505,15
"147,126,507,164.00 ",ACTwireless,ACTwireless,503,22
"140,219,922,694,639.00 ",Pacoima Beautiful,PACOIMA BEAUTIFUL,503,2
"101,432,317,199.00 ",Blue Cross and Blue Shield Association,BLUE CROSS AND BLUE SHIELD ASSOCIATION,502,4
"405,209,453,580,678.00 ",Proud Trump Supporters,Proud Right Winger,498,7
"883,208,795,067,655.00 ",The Climate Museum,The Climate Museum,498,2
"107,656,731,666,716.00 ",Medicare Advisors,Weekly Wealth,498,3
"111,164,801,685,573.00 ",Behavioral Health Center Abuse,Tort Group LLC,497,1
"154,065,301,986,563.00 ",GZERO Media,GZERO Media,497,15
"106,795,887,744,054.00 ",In Utah,Utah Governor's Office of Economic Opportunity,496,40
"104,373,526,741,700.00 ",Save Our Air Medical Resources,Save Our Air Medical Resources,495,4
"103,175,021,296,846.00 ",Save Our Planet,Sahak Nalbandyan,494,13
"375,742,685,850,856.00 ",Firearms Policy Coalition,"FIREARMS POLICY COALITION, INC.",493,18
"170,756,446,429,578.00 ",Othering & Belonging Institute,Othering and Belonging Institute,492,2
"102,204,903,345.00 ",The Vilcek Foundation,"VILCEK FOUNDATION, INC., THE",489,26
"7,145,381,235.00 ",American Jewish World Service - AJWS,"AMERICAN JEWISH WORLD SERVICE, INC.",488,34
"103,315,464,587,143.00 ",All Access,John Leroy Soderberg,486,6
"408,250,066,356.00 ",Bill O'Reilly,"Bill Me, Inc.",484,7
"18,780,321,251.00 ",American Chemistry,American Chemistry Council,481,16
"717,339,155,320,936.00 ",Better Solutions for Healthcare,Better Solutions for Healthcare,481,11
"25,372,476,424.00 ",Best Friends Animal Society,BEST FRIENDS ANIMAL SOCIETY,480,12
"219,612,384,781,411.00 ",Bloomberg Philanthropies,Bloomberg Philanthropies,470,8
"911,828,698,840,246.00 ",ReLEntless Defender Apparel,ReLEntless Defender Apparel,468,1
"101,400,032,438,085.00 ",The A-Mark Foundation,A MARK FOUNDATION,466,6
"104,055,018,952,741.00 ",L.A. County Juvenile Claims,Tort Group LLC,462,1
"153,278,754,738,777.00 ",Climate Reality,The Climate Reality Project,462,28
"1,632,814,840,319,800.00 ",John Fetterman,Fetterman for PA,462,60
"431,019,887,282,794.00 ",Tomorrow's World Today,Flying Cork,458,10
"300,992,409,852.00 ",Hoover Institution,Hoover Institution,458,109
"35,169,196,082.00 ",Project HOPE,"PROJECT HOPE-THE PEOPLE-TO-PEOPLE HEALTH FOUNDATION, INC.",456,37
"107,754,578,452,613.00 ",Liberty for the Kids,Liberty For The Kids,456,5
"542,968,069,983,885.00 ",HappeningNow,HappeningNow America,456,2
"134,452,023,239,984.00 ",Human Coalition,Human Coalition,453,59
"107,999,458,652,964.00 ",MyObamacare,Norwegian Financial LLC,452,49
"113,011,138,085,478.00 ",USA Funeral Benefits & Services,Heartwork global,451,15
"43,287,633,515.00 ",Action for the Climate Emergency,Action for the Climate Emergency,451,9
"317,284,821,682,168.00 ",Messianic Jewish Alliance of America (MJAA),Messianic Jewish Alliance of America,448,5
"104,113,871,421,589.00 ",Consumer Protection Attorneys,Bursor & Fisher,447,4
"58,584,948,953.00 ",PICO California,PICO California Action Fund,446,22
